path,size_bytes,sha256,extension
03_VAT_TU_DE_TRINH/Giao_nhan_VA_luan_chuyen_vat_tu/MAU_Doi_chieu_hoa_don_dau_vao_va_nhap_kho.xlsx,5948,a600baae13a75c82942ab93bfd14debd7c078e63c65fe5306ac394a2a910f72b,.xlsx
03_VAT_TU_DE_TRINH/Giao_nhan_VA_luan_chuyen_vat_tu/MAU_Phieu_giao_nhan_vat_tu_tai_cong_trinh.docx,39522,a96f27514fc2da5358641f0bbbb103e2d983c4557fd3e4e484535e1e8d2c3744,.docx
03_VAT_TU_DE_TRINH/Giao_nhan_VA_luan_chuyen_vat_tu/MAU_Phieu_hoan_tra_vat_tu.docx,39500,f744ed80e77b38c573632cb6da32235314d249de321f05c4a6e23da5bbb70060,.docx
03_VAT_TU_DE_TRINH/Giao_nhan_VA_luan_chuyen_vat_tu/REGISTER_GIAO_NHAN_HOAN_TRA_VAT_TU.csv,222,6e8ab598e8eedee92807b34182b9016b50bcad148dae060181b7a786f6eeeee6,.csv
03_VAT_TU_DE_TRINH/Nghiem_thu_vat_tu_dau_vao/MAU_Bien_ban_nghiem_thu_vat_tu_dau_vao_MIR.docx,39755,f62468c757f589819b93266b81ba0a9078939538ece42dbec5379621064d265d,.docx
03_VAT_TU_DE_TRINH/Trinh_mau_vat_tu_Submittal/MAU_Phieu_trinh_mau_vat_tu_Submittal.docx,39784,bc2be081c65dfedf6f45d4bdca2f4d60bc9fd16b9e60fc77ba084a19bd98235a,.docx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/01_BAO_GIA_DA_NANG.xlsx,6724,44b3df346c6df2fbbb8093106d13f4348b3be8bb3ec92a8ae5c8bba668df6e75,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/02_BAO_GIA_CUNG_CAP_THIET_BI.xlsx,6712,f8ba16cabe7c4fa33ce30ef48fc80b2ee0a78bb8d0acb21a56f589a6b59f55db,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/03_BAO_GIA_THI_CONG_LAP_DAT.xlsx,6686,33a65fbd29f6a6fac82c323712c899c446f9f03b1ef8fbbd7cdc9ba3a3956c7c,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/04_BAO_GIA_VAT_TU_VA_NHAN_CONG.xlsx,6700,2a0316944fb69e8b208f90b9e2bdb1d6d268732c287c360eae5baa494bdf1d53,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/05_BAO_GIA_NHAN_CONG_RIENG.xlsx,6689,884f27f9984df6fb453ac3f24987b3501acc13460544ac5ecbf2f4f485523086,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/06_BAO_GIA_BAO_TRI_DINH_KY.xlsx,6713,8f6f6448a30816b0fdb416c4f64986c69646c42a310dd6a12561974340f096ed,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/07_BAO_GIA_SUA_CHUA_KHAC_PHUC_SU_CO.xlsx,6734,d50284f1927a93aeb06e74fef6f2ccf90602100dd7283336c6d0976df5ababbe,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/08_BAO_GIA_PHAT_SINH_CONG_TRINH.xlsx,6738,7a03cc5c1ef907ff440b34b8f5848e3aca5409ad66895bb77402342d1decb9fc,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/09_BAO_GIA_QUYET_TOAN_BO_SUNG.xlsx,6738,a4a453db9a48ea4e8aa186347d83a9511a620339497b6a544b2d794e27e3f85e,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/10_BAO_GIA_TONG_HOP_CONG_TRINH.xlsx,6728,b88ec62758540caeab4a6897d7098f2c6f295a66e4f1e4f417c4b70b8eb6ffe0,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/11_BAO_GIA_LIEN_DANH_PHAN_CHIA_PHAM_VI.xlsx,6727,c19a1691a0f4833df2f2e42aa597fc714fe695a2e93defb263b5f64a08f6d94c,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/BO_11_MAU_BAO_GIA_RIENG/README_DYNAMIC_ROWS.md,476,5f94e23730c4dc093b5e9c52981f83a305fb2c6d1677b7b614067e1319d9a560,.md
04_BAO_GIA_KHOI_LUONG/Bao_gia_gui_chu_dau_tu/README.txt,153,f0764c949bb15b77c9e2de96074ca80520e123c8a6e309e7f74a49e3bb9fac72,.txt
04_BAO_GIA_KHOI_LUONG/Bao_gia_nha_thau_phu_-_NCC/MAU_Bang_so_sanh_bao_gia_NCC.xlsx,6027,759e552ec8e92a2bc4156f6030dd6529abe80d6a1b70c1caefa4edfb438f57a8,.xlsx
04_BAO_GIA_KHOI_LUONG/Bao_gia_nha_thau_phu_-_NCC/MAU_Phieu_yeu_cau_bao_gia_NCC_nha_thau_phu.docx,39527,a7f2e4d41a4b78dd0744c144a6c4a2856e0aafe427121289fb83cf478d1b8587,.docx
04_BAO_GIA_KHOI_LUONG/Bao_gia_nha_thau_phu_-_NCC/README.txt,92,445ef94cc985d9bc9207ca15be8e16bb5e641df459d6fd4d28d2bbe6e63a1f4c,.txt
04_BAO_GIA_KHOI_LUONG/Bao_gia_nha_thau_phu_-_NCC/REGISTER_BAO_GIA_NCC.csv,208,592b780694f2fce3e2a3f4794bd69e7ed73ff56f10a13cc22a95ccf047c27fa3,.csv
04_BAO_GIA_KHOI_LUONG/Khoi_luong_du_thau_-_bao_gia/MAU_Bang_khoi_luong_du_thau_BOQ.xlsx,6063,966d728854587cc200402e69441a91f42dd67e509dd0da8820b606306e202032,.xlsx
04_BAO_GIA_KHOI_LUONG/Khoi_luong_du_thau_-_bao_gia/README.txt,108,3f56733ad4c1194cdf5f8875b6d26d9c8989e796b764c643d34497b394f47d96,.txt
04_BAO_GIA_KHOI_LUONG/Khoi_luong_thuc_te_thi_cong/MAU_De_nghi_phat_sinh_VO.docx,39746,e0e450b84c3b882e8164f3fc156a90dad2f5c3688e41e07cb77734d6fdd3514c,.docx
04_BAO_GIA_KHOI_LUONG/Khoi_luong_thuc_te_thi_cong/MAU_Xac_nhan_khoi_luong_thi_cong_hang_thang.docx,39703,bf31e45cbb12f059b6519df702862a8134e9df2f619c2ba8cceabd66fef677e5,.docx
